,code,name,lot_size,stock_type,stock_child_type,owner_stock_code
0,HK.01350,香港资源一八零一.C,4000,WARRANT,N/A,HK.02882
1,HK.01437,美丽华酒店一八.C,1000,WARRANT,N/A,HK.00071
2,HK.01457,卓能集团一七零四.C,5000,WARRANT,N/A,HK.00131
3,HK.01479,东胜中国一七零五.C,10000,WARRANT,N/A,HK.00265
4,HK.01482,.C,20000,WARRANT,N/A,
5,HK.01537,新沣集团一九零七.C,10000,WARRANT,N/A,HK.01223
6,HK.01562,华耐控股一七零七.C,4000,WARRANT,N/A,HK.01020
7,HK.10412,日经瑞银七六购A.C,10000,WARRANT,CALL,
8,HK.10416,期油法巴七五购A.C,10000,WARRANT,CALL,HK.100100
9,HK.10417,期油法巴七五沽B.P,10000,WARRANT,PUT,HK.100100
10,HK.10418,日经法兴七六购A.C,10000,WARRANT,CALL,
11,HK.10419,日经法兴七九购A.C,10000,WARRANT,CALL,
12,HK.10420,日经法兴七六沽B.P,10000,WARRANT,PUT,
13,HK.10421,英美法巴七六购A.C,10000,WARRANT,CALL,
14,HK.10422,日经法兴七九购B.C,10000,WARRANT,CALL,
15,HK.10423,日经法兴七乙购A.C,10000,WARRANT,CALL,
16,HK.10424,日经法兴七九购C.C,10000,WARRANT,CALL,
17,HK.10425,日经法兴七乙购B.C,10000,WARRANT,CALL,
18,HK.10426,日经法兴七乙沽C.P,10000,WARRANT,PUT,
19,HK.10427,日经法兴七九沽D.P,10000,WARRANT,PUT,
20,HK.10428,美日法巴七六购A.C,10000,WARRANT,CALL,HK.100701
21,HK.10429,美日法巴七六沽B.P,10000,WARRANT,PUT,HK.100701
22,HK.10430,欧美法巴七六购A.C,10000,WARRANT,CALL,HK.100702
23,HK.10431,黄金法巴七乙购A.C,10000,WARRANT,CALL,HK.100000
24,HK.10432,黄金法巴七乙沽B.P,10000,WARRANT,PUT,HK.100000
25,HK.10433,日经摩通七十购A.C,10000,WARRANT,CALL,
26,HK.10434,日经摩通七甲沽A.P,10000,WARRANT,PUT,
27,HK.10435,日经瑞银七九购A.C,10000,WARRANT,CALL,
28,HK.10436,日经瑞银七九购B.C,10000,WARRANT,CALL,
29,HK.10437,日经瑞银七乙购A.C,10000,WARRANT,CALL,
30,HK.10438,日经瑞银七九购C.C,10000,WARRANT,CALL,
31,HK.10439,日经瑞银七乙沽B.P,10000,WARRANT,PUT,
32,HK.10440,日经瑞银七九沽D.P,10000,WARRANT,PUT,
33,HK.10441,日经瑞银七九沽E.P,10000,WARRANT,PUT,
34,HK.10442,黄金法巴七九购A.C,10000,WARRANT,CALL,HK.100000
35,HK.10443,黄金法巴七九沽B.P,10000,WARRANT,PUT,HK.100000
36,HK.10444,美日法巴七九购A.C,10000,WARRANT,CALL,HK.100701
37,HK.10445,美日法巴七九沽B.P,10000,WARRANT,PUT,HK.100701
38,HK.10446,欧美法巴七六沽B.P,10000,WARRANT,PUT,HK.100702
39,HK.10447,英美法巴七九沽A.P,10000,WARRANT,PUT,
40,HK.10448,日经摩通七九购A.C,10000,WARRANT,CALL,
41,HK.10449,日经摩通七九沽B.P,10000,WARRANT,PUT,
42,HK.10450,日经摩通七乙购A.C,10000,WARRANT,CALL,
43,HK.10451,日经摩通七乙沽B.P,10000,WARRANT,PUT,
44,HK.10452,澳美法巴七乙购A.C,10000,WARRANT,CALL,HK.100703
45,HK.10453,澳美法巴七乙沽B.P,10000,WARRANT,PUT,HK.100703
46,HK.10454,英美法巴七乙购A.C,10000,WARRANT,CALL,
47,HK.10455,欧美法巴七乙购A.C,10000,WARRANT,CALL,HK.100702
48,HK.10456,欧美法巴七乙沽B.P,10000,WARRANT,PUT,HK.100702
49,HK.10457,期油法巴八五购A.C,10000,WARRANT,CALL,HK.100100
50,HK.10458,期油法巴八五沽B.P,10000,WARRANT,PUT,HK.100100
51,HK.11001,航信麦银七五购A.C,10000,WARRANT,CALL,HK.00696
52,HK.11003,腾讯中银七六购B.C,10000,WARRANT,CALL,HK.00700
53,HK.11007,腾讯中银七七购A.C,10000,WARRANT,CALL,HK.00700
54,HK.11017,中寿高盛七七购A.C,10000,WARRANT,CALL,HK.02628
55,HK.11021,港交法巴七六沽C.P,10000,WARRANT,PUT,HK.00388
56,HK.11023,国信麦银七五购A.C,2000,WARRANT,CALL,HK.00728
57,HK.11027,腾讯法兴七八购A.C,10000,WARRANT,CALL,HK.00700
58,HK.11035,海通瑞信七五购A.C,4000,WARRANT,CALL,HK.06837
59,HK.11039,招行高盛七六购A.C,5000,WARRANT,CALL,HK.03968
60,HK.11041,神华高盛七九购A.C,5000,WARRANT,CALL,HK.01088
61,HK.11042,港交麦银七十购F.C,1000,WARRANT,CALL,HK.00388
62,HK.11044,港交海通九三沽A.P,10000,WARRANT,PUT,HK.00388
63,HK.11045,上电海通八二购A.C,2000,WARRANT,CALL,HK.02727
64,HK.11046,港交高盛七四购A.C,1000,WARRANT,CALL,HK.00388
65,HK.11048,腾讯法兴七十购A.C,10000,WARRANT,CALL,HK.00700
66,HK.11049,中行高盛七五购A.C,1000,WARRANT,CALL,HK.03988
67,HK.11051,神码麦银八乙购A.C,10000,WARRANT,CALL,HK.00861
68,HK.11059,中行海通八八购A.C,1000,WARRANT,CALL,HK.03988
69,HK.11063,利丰法兴七甲购A.C,2000,WARRANT,CALL,HK.00494
70,HK.11064,中兴法兴七九购A.C,2000,WARRANT,CALL,HK.00763
71,HK.11067,国泰瑞信七十购A.C,1000,WARRANT,CALL,HK.00293
72,HK.11068,江铜法巴八一购A.C,10000,WARRANT,CALL,HK.00358
73,HK.11071,国信法巴八二购A.C,2000,WARRANT,CALL,HK.00728
74,HK.11074,电能麦银七五购A.C,5000,WARRANT,CALL,HK.00006
75,HK.11075,海油高盛七七购B.C,1000,WARRANT,CALL,HK.00883
76,HK.11087,中寿摩通七七购A.C,10000,WARRANT,CALL,HK.02628
77,HK.11088,国信摩通七甲购A.C,2000,WARRANT,CALL,HK.00728
78,HK.11096,华地摩通七七购A.C,20000,WARRANT,CALL,HK.01109
79,HK.11098,恒大摩通七九购A.C,1000,WARRANT,CALL,HK.03333
80,HK.11099,中企摩通七六沽B.P,10000,WARRANT,PUT,HK.800100
81,HK.11102,中油摩通七十购A.C,2000,WARRANT,CALL,HK.00857
82,HK.11108,恒指摩通七十沽C.P,10000,WARRANT,PUT,HK.800000
83,HK.11112,人保法兴七十购A.C,1000,WARRANT,CALL,HK.01339
84,HK.11115,恒指高盛七九购C.C,10000,WARRANT,CALL,HK.800000
85,HK.11116,腾讯瑞信七七购A.C,10000,WARRANT,CALL,HK.00700
86,HK.11129,海油海通七七购A.C,1000,WARRANT,CALL,HK.00883
87,HK.11130,招行麦银八八购A.C,5000,WARRANT,CALL,HK.03968
88,HK.11134,中科麦银八五购A.C,10000,WARRANT,CALL,HK.02357
89,HK.11141,海油海通七九购A.C,1000,WARRANT,CALL,HK.00883
90,HK.11144,恒指法兴七五购A.C,10000,WARRANT,CALL,HK.800000
91,HK.11154,腾讯高盛七九购A.C,10000,WARRANT,CALL,HK.00700
92,HK.11157,腾讯高盛七七购A.C,10000,WARRANT,CALL,HK.00700
93,HK.11160,华能海通七九购A.C,2000,WARRANT,CALL,HK.00902
94,HK.11162,利丰海通七乙购B.C,2000,WARRANT,CALL,HK.00494
95,HK.11163,联想海通七七购A.C,2000,WARRANT,CALL,HK.00992
96,HK.11166,安踏麦银七五购A.C,10000,WARRANT,CALL,HK.02020
97,HK.11167,舜光海通七九购A.C,10000,WARRANT,CALL,HK.02382
98,HK.11186,渣打法兴八八购A.C,5000,WARRANT,CALL,HK.02888
99,HK.11188,吉利法兴七八购C.C,5000,WARRANT,CALL,HK.00175
100,HK.11193,吉利法兴七九购C.C,5000,WARRANT,CALL,HK.00175
101,HK.11196,金软法兴七甲购A.C,10000,WARRANT,CALL,HK.03888
102,HK.11197,越秀瑞信八二购A.C,2000,WARRANT,CALL,HK.00123
103,HK.11211,恒大瑞银七九购A.C,1000,WARRANT,CALL,HK.03333
104,HK.11217,中移麦银七五沽A.P,5000,WARRANT,PUT,HK.00941
105,HK.11227,腾讯汇丰七七购A.C,10000,WARRANT,CALL,HK.00700
106,HK.11228,邮银摩通七十购A.C,1000,WARRANT,CALL,HK.01658
107,HK.11229,海油法兴七十购A.C,1000,WARRANT,CALL,HK.00883
108,HK.11234,工行高盛七八购A.C,1000,WARRANT,CALL,HK.01398
109,HK.11241,国信高盛七九购A.C,2000,WARRANT,CALL,HK.00728
110,HK.11242,海油瑞信七七购B.C,1000,WARRANT,CALL,HK.00883
111,HK.11244,恒指摩通七十购D.C,10000,WARRANT,CALL,HK.800000
112,HK.11249,长和法巴八四购A.C,5000,WARRANT,CALL,HK.00001
113,HK.11251,中车法巴八乙购A.C,1000,WARRANT,CALL,HK.01766
114,HK.11252,南中法巴八十购A.C,2000,WARRANT,CALL,HK.02822
115,HK.11253,A中法巴八十购A.C,1000,WARRANT,CALL,HK.02823
116,HK.11254,海油摩通七十购A.C,1000,WARRANT,CALL,HK.00883
117,HK.11259,中证摩通七乙购A.C,5000,WARRANT,CALL,HK.06030
118,HK.11263,国泰摩通七乙购A.C,10000,WARRANT,CALL,HK.00293
119,HK.11265,中燃摩通七甲购A.C,20000,WARRANT,CALL,HK.00384
120,HK.11266,人保摩通七乙购A.C,1000,WARRANT,CALL,HK.01339
121,HK.11268,中油瑞银七八购A.C,2000,WARRANT,CALL,HK.00857
