,code,name,lot_size,stock_type,stock_child_type,owner_stock_code,listing_date
0,HK.01350,香港资源一八零一.C,4000,WARRANT,N/A,HK.02882,2013-02-01
1,HK.01437,美丽华酒店一八.C,1000,WARRANT,N/A,HK.00071,2015-07-21
2,HK.01482,.C,20000,WARRANT,N/A,,2017-02-15
3,HK.01487,标准资源一八零五.C,25000,WARRANT,N/A,,2017-05-12
4,HK.01537,新沣集团一九零七.C,10000,WARRANT,N/A,HK.01223,2016-07-07
5,HK.01562,赛伯乐一七零七.C,4000,WARRANT,N/A,HK.01020,2016-01-14
6,HK.01677,中国再生能源一八.C,2000,WARRANT,N/A,,2017-05-22
7,HK.10412,日经瑞银七六购A.C,10000,WARRANT,CALL,,2016-08-05
8,HK.10418,日经法兴七六购A.C,10000,WARRANT,CALL,,2016-10-21
9,HK.10419,日经法兴七九购A.C,10000,WARRANT,CALL,,2016-10-21
10,HK.10420,日经法兴七六沽B.P,10000,WARRANT,PUT,,2016-10-21
11,HK.10421,英美法巴七六购A.C,10000,WARRANT,CALL,,2016-10-24
12,HK.10422,日经法兴七九购B.C,10000,WARRANT,CALL,,2016-11-29
13,HK.10423,日经法兴七乙购A.C,10000,WARRANT,CALL,,2016-11-29
14,HK.10424,日经法兴七九购C.C,10000,WARRANT,CALL,,2016-11-29
15,HK.10425,日经法兴七乙购B.C,10000,WARRANT,CALL,,2016-11-29
16,HK.10426,日经法兴七乙沽C.P,10000,WARRANT,PUT,,2016-11-29
17,HK.10427,日经法兴七九沽D.P,10000,WARRANT,PUT,,2016-11-29
18,HK.10428,美日法巴七六购A.C,10000,WARRANT,CALL,HK.100701,2016-11-30
19,HK.10429,美日法巴七六沽B.P,10000,WARRANT,PUT,HK.100701,2016-11-30
20,HK.10430,欧美法巴七六购A.C,10000,WARRANT,CALL,HK.100702,2016-12-06
21,HK.10431,黄金法巴七乙购A.C,10000,WARRANT,CALL,HK.100000,2016-12-06
22,HK.10432,黄金法巴七乙沽B.P,10000,WARRANT,PUT,HK.100000,2016-12-06
23,HK.10433,日经摩通七十购A.C,10000,WARRANT,CALL,,2016-12-06
24,HK.10434,日经摩通七甲沽A.P,10000,WARRANT,PUT,,2016-12-06
25,HK.10435,日经瑞银七九购A.C,10000,WARRANT,CALL,,2016-12-21
26,HK.10436,日经瑞银七九购B.C,10000,WARRANT,CALL,,2016-12-21
27,HK.10437,日经瑞银七乙购A.C,10000,WARRANT,CALL,,2016-12-21
28,HK.10438,日经瑞银七九购C.C,10000,WARRANT,CALL,,2016-12-21
29,HK.10439,日经瑞银七乙沽B.P,10000,WARRANT,PUT,,2016-12-21
30,HK.10440,日经瑞银七九沽D.P,10000,WARRANT,PUT,,2016-12-21
31,HK.10441,日经瑞银七九沽E.P,10000,WARRANT,PUT,,2016-12-21
32,HK.10442,黄金法巴七九购A.C,10000,WARRANT,CALL,HK.100000,2016-12-23
33,HK.10443,黄金法巴七九沽B.P,10000,WARRANT,PUT,HK.100000,2016-12-23
34,HK.10444,美日法巴七九购A.C,10000,WARRANT,CALL,HK.100701,2016-12-23
35,HK.10445,美日法巴七九沽B.P,10000,WARRANT,PUT,HK.100701,2016-12-23
36,HK.10446,欧美法巴七六沽B.P,10000,WARRANT,PUT,HK.100702,2016-12-23
37,HK.10447,英美法巴七九沽A.P,10000,WARRANT,PUT,,2016-12-23
38,HK.10448,日经摩通七九购A.C,10000,WARRANT,CALL,,2017-01-20
39,HK.10449,日经摩通七九沽B.P,10000,WARRANT,PUT,,2017-01-20
40,HK.10450,日经摩通七乙购A.C,10000,WARRANT,CALL,,2017-01-20
41,HK.10451,日经摩通七乙沽B.P,10000,WARRANT,PUT,,2017-01-20
42,HK.10452,澳美法巴七乙购A.C,10000,WARRANT,CALL,HK.100703,2017-02-14
43,HK.10453,澳美法巴七乙沽B.P,10000,WARRANT,PUT,HK.100703,2017-02-14
44,HK.10454,英美法巴七乙购A.C,10000,WARRANT,CALL,,2017-03-01
45,HK.10455,欧美法巴七乙购A.C,10000,WARRANT,CALL,HK.100702,2017-03-01
46,HK.10456,欧美法巴七乙沽B.P,10000,WARRANT,PUT,HK.100702,2017-03-01
47,HK.10457,期油法巴八五购A.C,10000,WARRANT,CALL,HK.100100,2017-03-01
48,HK.10458,期油法巴八五沽B.P,10000,WARRANT,PUT,HK.100100,2017-03-01
49,HK.10459,美人法巴七乙购A.C,10000,WARRANT,CALL,,2017-05-11
50,HK.10460,美人法巴七乙沽B.P,10000,WARRANT,PUT,,2017-05-11
51,HK.10461,美人法巴八三购A.C,10000,WARRANT,CALL,,2017-05-11
52,HK.10462,美人法巴八三沽B.P,10000,WARRANT,PUT,,2017-05-11
53,HK.10463,美加法巴七乙购A.C,10000,WARRANT,CALL,,2017-05-11
54,HK.10464,美加法巴七乙沽B.P,10000,WARRANT,PUT,,2017-05-11
55,HK.10465,美日法巴八三购A.C,10000,WARRANT,CALL,HK.100701,2017-06-13
56,HK.10466,美日法巴八三沽B.P,10000,WARRANT,PUT,HK.100701,2017-06-13
57,HK.11003,腾讯中银七六购B.C,10000,WARRANT,CALL,HK.00700,2016-06-22
58,HK.11007,腾讯中银七七购A.C,10000,WARRANT,CALL,HK.00700,2016-06-22
59,HK.11017,中寿高盛七七购A.C,10000,WARRANT,CALL,HK.02628,2016-06-22
60,HK.11021,港交法巴七六沽C.P,10000,WARRANT,PUT,HK.00388,2016-06-22
61,HK.11027,腾讯法兴七八购A.C,10000,WARRANT,CALL,HK.00700,2016-06-22
62,HK.11039,招行高盛七六购A.C,5000,WARRANT,CALL,HK.03968,2016-06-23
63,HK.11041,神华高盛七九购A.C,5000,WARRANT,CALL,HK.01088,2016-06-23
64,HK.11042,港交麦银七十购F.C,1000,WARRANT,CALL,HK.00388,2017-03-14
65,HK.11044,港交海通九三沽A.P,10000,WARRANT,PUT,HK.00388,2017-03-14
66,HK.11045,上电海通八二购A.C,2000,WARRANT,CALL,HK.02727,2017-03-14
67,HK.11048,腾讯法兴七十购A.C,10000,WARRANT,CALL,HK.00700,2016-06-23
68,HK.11051,神码麦银八乙购A.C,10000,WARRANT,CALL,HK.00861,2016-06-23
69,HK.11059,中行海通八八购A.C,1000,WARRANT,CALL,HK.03988,2017-03-14
70,HK.11063,利丰法兴七甲购A.C,2000,WARRANT,CALL,HK.00494,2017-03-14
71,HK.11064,中兴法兴七九购A.C,2000,WARRANT,CALL,HK.00763,2017-03-14
72,HK.11067,国泰瑞信七十购A.C,1000,WARRANT,CALL,HK.00293,2017-03-14
73,HK.11068,江铜法巴八一购A.C,10000,WARRANT,CALL,HK.00358,2017-03-14
74,HK.11071,国信法巴八二购A.C,2000,WARRANT,CALL,HK.00728,2017-03-14
75,HK.11075,海油高盛七七购B.C,1000,WARRANT,CALL,HK.00883,2017-03-14
76,HK.11087,中寿摩通七七购A.C,10000,WARRANT,CALL,HK.02628,2016-06-23
77,HK.11088,国信摩通七甲购A.C,2000,WARRANT,CALL,HK.00728,2017-03-14
78,HK.11096,华地摩通七七购A.C,20000,WARRANT,CALL,HK.01109,2016-06-23
79,HK.11098,恒大摩通七九购A.C,1000,WARRANT,CALL,HK.03333,2017-03-14
80,HK.11099,中企摩通七六沽B.P,10000,WARRANT,PUT,HK.800100,2016-06-23
81,HK.11102,中油摩通七十购A.C,2000,WARRANT,CALL,HK.00857,2017-03-14
