,code,name,lot_size,stock_type
0,HK.00001,長和,500,STOCK
1,HK.00002,中電控股,500,STOCK
2,HK.00003,香港中華煤氣,1000,STOCK
3,HK.00004,九龍倉集團,1000,STOCK
4,HK.00005,匯豐控股,400,STOCK
5,HK.00006,電能實業,500,STOCK
6,HK.00007,凱富能源,2000,STOCK
7,HK.00008,電訊盈科,1000,STOCK
8,HK.00009,九號運通,6000,STOCK
9,HK.00010,恒隆集團,1000,STOCK
10,HK.00011,恒生銀行,100,STOCK
11,HK.00012,恒基地產,1000,STOCK
12,HK.00014,希慎興業,1000,STOCK
13,HK.00015,盈信控股,2000,STOCK
14,HK.00016,新鴻基地產,1000,STOCK
15,HK.00017,新世界發展,1000,STOCK
16,HK.00018,東方報業集團,2000,STOCK
17,HK.00019,太古股份公司A,500,STOCK
18,HK.00020,會德豐,1000,STOCK
19,HK.00021,大中華地產控股,5000,STOCK
20,HK.00022,茂盛控股,40000,STOCK
21,HK.00023,東亞銀行,200,STOCK
22,HK.00024,寶威控股,2000,STOCK
23,HK.00025,其士國際,2000,STOCK
24,HK.00026,中華汽車,200,STOCK
25,HK.00027,銀河娛樂,1000,STOCK
26,HK.00028,天安,1000,STOCK
27,HK.00029,達力集團,2000,STOCK
28,HK.00030,萬隆控股集團,2000,STOCK
29,HK.00031,航天控股,2000,STOCK
30,HK.00032,港通控股,1000,STOCK
31,HK.00033,亞投金融集團,2000,STOCK
32,HK.00034,九龍建業,1000,STOCK
33,HK.00035,遠東發展,1000,STOCK
34,HK.00036,遠東控股國際,3000,STOCK
35,HK.00037,遠東酒店實業,2000,STOCK
36,HK.00038,第一拖拉機股份,2000,STOCK
37,HK.00039,中國北大荒,8000,STOCK
38,HK.00040,金山工業,1000,STOCK
39,HK.00041,鷹君,1000,STOCK
40,HK.00042,東北電氣,2000,STOCK
41,HK.00043,卜蜂國際,2000,STOCK
42,HK.00044,香港飛機工程,400,STOCK
43,HK.00045,大酒店,500,STOCK
44,HK.00046,科聯系統,2000,STOCK
45,HK.00047,合興集團,4000,STOCK
46,HK.00048,中國汽車內飾,10000,STOCK
47,HK.00050,香港小輪(集團),1000,STOCK
48,HK.00051,海港企業,1000,STOCK
49,HK.00052,大快活,500,STOCK
50,HK.00053,國浩集團,1000,STOCK
51,HK.00054,合和實業,500,STOCK
52,HK.00055,中星集團控股,10000,STOCK
53,HK.00056,聯合地產(香港),2000,STOCK
54,HK.00057,震雄集團,2000,STOCK
55,HK.00058,新威國際,20000,STOCK
56,HK.00059,天譽置業,2000,STOCK
57,HK.00060,香港食品投資,2000,STOCK
58,HK.00061,北亞資源,5000,STOCK
59,HK.00062,載通,400,STOCK
60,HK.00063,中國烯谷集團,1000,STOCK
